"Country","Total","Diarrhoea","HIV","Infections","Injury","Malaria","Measles","Meningitis","NCD","Pertussis","Pneumonia","Agriculture_Land"
"Cape Verde",12.4626121635095,2.2432701894317,0,1.91093386507145,0.83084081090063,0.083084081090063,1.66168162180126,1.08009305417082,1.66168162180126,0.33233632436025,2.65869059488202,23.0769230769231
"Central African Rep.",121.355218800543,28.00854806337,11.4190694562626,17.0831357622131,1.89668275382747,24.1307412002364,0.006495488882971,3.13082564159191,2.54623164212454,5.30681441738712,27.8266743746468,8.36302931073229
"Chad",153.562493354119,42.1925690519613,5.7179658486966,18.8512305664398,2.79678750634494,36.7915992047012,0.010031519032801,3.07365743165024,2.69847861982349,8.57293616543179,32.8572374400366,39.09625158831
"Chile",4.23136785036163,0.023883543840235,0.011941771920118,0.76427340288752,0.51349619256505,0,0,0.099514766000979,2.34058729634303,0.059708859600588,0.41796201720411,21.1652522426802
"China",9.02070092013586,0.5730755412495,0.065678692227498,0.76294265908264,2.0026762274843,0.000110291674605,0.025753106020354,0.41045046704388,2.0499362100527,0.022113480758377,3.10796424454201,56.0219909343145
"Colombia",7.68561595437625,0.80459982862786,0.052260881967709,1.62117610937332,0.9820690736432,0.013065220491927,0,0.2874348508224,1.99135735664459,0.019597830737891,1.91405480206735,38.408292023434
"Comoros",64.1551659828423,20.3748601268184,0,13.7541961954495,1.8183513614323,0,0,4.14957105557628,2.89071242073853,1.21223424095487,19.9552405818724,80.6451612903226
"Congo, Dem. Rep.",135.422798862811,33.993690370799,2.17631966016011,20.0224180675071,3.6250049808303,32.638211544092,1.41888696200536,3.67697886222244,3.57372408452339,3.76498796804646,30.5325763626252,9.90273703711872
"Congo, Rep.",89.8483733725729,17.1939477303989,5.81395348837209,12.5715748056684,1.78337225296696,29.6295703912223,0,2.44713860721026,2.15124276254758,0.86369597901539,17.393877355171,30.8931185944363
"Costa Rica",3.72501193064319,0.13256270215812,0,0.49048199798505,0.31815048517949,0,0,0.06628135107906,2.28007847711968,0.092793891510684,0.34466302561111,35.2526439482961
"Cote d'Ivoire",69.1246346295039,13.7254630335102,4.49803981326278,8.62343635280591,1.37559394350783,23.1399005361076,0.00138529098037,2.66252926427196,1.30355881252857,1.28416473880339,12.5105628437253,63.8364779874214
"Croatia",2.06307801754802,0.023713540431586,0,0.3557031064738,0.33198956604221,0,0,0.023713540431586,1.20939056201091,0,0.11856770215793,23.0164403145104
"Cuba",3.13170167137558,0.085100588896075,0.008510058889608,0.42550294448038,0.4510331211492,0,0,0.085100588896075,1.71903189570072,0,0.35742247336352,61.3491168733559
"Cyprus",2.11672210462655,0,0,0.30238887208951,0.40318516278601,0,0,0,1.31035177905453,0,0.1007962906965,12.4458874458874
"Czech Rep.",1.91581417519158,0.045832875004583,0,0.40332930004033,0.439995600044,0,0,0.073332600007333,0.769992300077,0,0.18333150001833,54.9385113268608
"Denmark",1.7808724670699,0.016043896099729,0,0.30483402589485,0.19252675319675,0,0,0.016043896099729,1.20329220747966,0,0.048131688299187,62.880037709168
"Djibouti",57.0672400959391,16.7066413034488,5.62401786452733,11.7856256719874,2.10900669919775,0.16541229013316,0.20676536266645,1.44735753866512,3.80448267306261,0.86841452319907,14.3495161690514,73.3822260569456
"Dominican Rep.",14.2342245893888,2.93070684902176,0.4282311377566,3.47491725325411,0.90106968569619,0.017842964073192,0,0.34347705840894,2.01179419925238,0.040146669164682,4.08603877276093,50.6415562913907
"Ecuador",13.6448285316498,1.38157449641966,0.22788857672902,3.43613244599219,1.54893016995503,0,0,0.54835688775419,3.4717400361061,0,3.03020591869363,29.9766468030279
"Egypt",8.74950684462443,1.06496748276127,0.016376480396609,1.72747055335135,0.99846904721141,0,0.076919832165889,0.9146016173015,2.40585384735632,0.076919832165889,1.46792815191419,3.55818976342358
